Entity,Code,Year,"Deaths that are from all causes attributed to air pollution in both sexes aged all ages"
United Arab Emirates,ARE,1992,675.6451
United Arab Emirates,ARE,1993,718.55176
United Arab Emirates,ARE,1994,770.7215
United Arab Emirates,ARE,1995,810.4868
United Arab Emirates,ARE,1996,845.63086
United Arab Emirates,ARE,1997,878.5029
United Arab Emirates,ARE,1998,907.9257
United Arab Emirates,ARE,1999,945.5716
United Arab Emirates,ARE,2000,991.3874
United Arab Emirates,ARE,2001,1013.6042
United Arab Emirates,ARE,2002,1041.077
United Arab Emirates,ARE,2003,1085.8015
United Arab Emirates,ARE,2004,1147.6124
United Arab Emirates,ARE,2005,1187.3236
United Arab Emirates,ARE,2006,1235.2179
United Arab Emirates,ARE,2007,1298.5049
United Arab Emirates,ARE,2008,1388.7896
United Arab Emirates,ARE,2009,1514.5267
United Arab Emirates,ARE,2010,1635.1896
United Arab Emirates,ARE,2011,1779.1313
United Arab Emirates,ARE,2012,1956.4376
United Arab Emirates,ARE,2013,2143.413
United Arab Emirates,ARE,2014,2266.2817
United Kingdom,GBR,1990,42075.14
United Kingdom,GBR,1991,41124.527
United Kingdom,GBR,1992,39964.1
United Kingdom,GBR,1993,39507.938
United Kingdom,GBR,1994,37817.227
United Kingdom,GBR,1995,37102.016
United Kingdom,GBR,1996,35748.473
United Kingdom,GBR,1997,34172.727
United Kingdom,GBR,1998,33031.402
United Kingdom,GBR,1999,31811.594
United Kingdom,GBR,2000,29911.402
United Kingdom,GBR,2001,28123.318
United Kingdom,GBR,2002,27304.51
United Kingdom,GBR,2003,26155.965
United Kingdom,GBR,2004,24404.705
United Kingdom,GBR,2005,23184.281
United Kingdom,GBR,2006,22165.877
United Kingdom,GBR,2007,21494.182
United Kingdom,GBR,2008,20712.006
United Kingdom,GBR,2009,19740.744
United Kingdom,GBR,2010,18976.04
United Kingdom,GBR,2011,18119.047
United Kingdom,GBR,2012,17410.254
United Kingdom,GBR,2013,16565.922
United Kingdom,GBR,2014,15585.533
United States,USA,1990,103744.47
United States,USA,1991,103090.23
United States,USA,1992,102383.88
United States,USA,1993,104374.89
United States,USA,1994,105018.914
United States,USA,1995,105732.625
United States,USA,1996,104752.56
United States,USA,1997,104004.93
United States,USA,1998,104228.305
United States,USA,1999,104577.92
United States,USA,2000,102988.99
United States,USA,2001,101326.445
United States,USA,2002,99743.6
United States,USA,2003,96525.99
United States,USA,2004,92315.52
United States,USA,2005,90805.56
United States,USA,2006,88049.92
United States,USA,2007,83247.59
United States,USA,2008,78860.06
United States,USA,2009,74243.34
United States,USA,2010,70979.21
United States,USA,2011,70549.67
United States,USA,2012,68292.04
United States,USA,2013,66169.586
United States,USA,2014,63519.31
United States Virgin Islands,VIR,1990,19.832531
United States Virgin Islands,VIR,1991,19.732496
United States Virgin Islands,VIR,1992,19.979313
United States Virgin Islands,VIR,1993,20.338957
United States Virgin Islands,VIR,1994,20.865868
United States Virgin Islands,VIR,1995,20.624409
United States Virgin Islands,VIR,1996,20.779459
United States Virgin Islands,VIR,1997,20.482477
United States Virgin Islands,VIR,1998,20.16575
United States Virgin Islands,VIR,1999,20.166132
United States Virgin Islands,VIR,2000,19.8047
United States Virgin Islands,VIR,2001,19.627195
United States Virgin Islands,VIR,2002,18.981215
United States Virgin Islands,VIR,2003,18.460289
United States Virgin Islands,VIR,2004,17.95961
United States Virgin Islands,VIR,2005,17.892069
United States Virgin Islands,VIR,2006,18.7762
United States Virgin Islands,VIR,2007,22.282099
United States Virgin Islands,VIR,2008,23.020443
United States Virgin Islands,VIR,2009,23.68501
United States Virgin Islands,VIR,2010,24.377205
United States Virgin Islands,VIR,2011,25.176664
United States Virgin Islands,VIR,2012,26.141418
United States Virgin Islands,VIR,2013,27.08965
United States Virgin Islands,VIR,2014,28.036318
Uruguay,URY,1990,1297.3793
Uruguay,URY,1991,1214.2859
Uruguay,URY,1992,1221.6321
Uruguay,URY,1993,1226.3762
Uruguay,URY,1994,1184.1967
Uruguay,URY,1995,1177.3218
Uruguay,URY,1996,1144.6821
Uruguay,URY,1997,1106.926
Uruguay,URY,1998,1113.534
Uruguay,URY,1999,1089.1798
Uruguay,URY,2000,1028.2417
Uruguay,URY,2001,987.4631
Uruguay,URY,2002,958.28424
Uruguay,URY,2003,936.80945
Uruguay,URY,2004,899.7332
Uruguay,URY,2005,868.8988
Uruguay,URY,2006,843.33344
Uruguay,URY,2007,869.92694
Uruguay,URY,2008,825.7961
Uruguay,URY,2009,811.68365
Uruguay,URY,2010,818.80597
Uruguay,URY,2011,853.0028
Uruguay,URY,2012,858.7586
Uruguay,URY,2013,853.21265
Uruguay,URY,2014,843.32684
Uzbekistan,UZB,1990,19460.201
Uzbekistan,UZB,1991,20434.377
Uzbekistan,UZB,1992,21919.37
Uzbekistan,UZB,1993,24024.873
Uzbekistan,UZB,1994,25777.537
Uzbekistan,UZB,1995,26847.54
Uzbekistan,UZB,1996,27667.396
Uzbekistan,UZB,1997,27474.053
Uzbekistan,UZB,1998,27493.354
Uzbekistan,UZB,1999,27228.201
Uzbekistan,UZB,2000,27973.004
Uzbekistan,UZB,2001,28147.127
Uzbekistan,UZB,2002,28477.516
Uzbekistan,UZB,2003,28660.04
Uzbekistan,UZB,2004,28744.322
Uzbekistan,UZB,2005,29652.691
Uzbekistan,UZB,2006,28835.172
Uzbekistan,UZB,2007,28572.375
Uzbekistan,UZB,2008,28580.39
Uzbekistan,UZB,2009,28077.229
Uzbekistan,UZB,2010,28122.162
Uzbekistan,UZB,2011,28889.836
Uzbekistan,UZB,2012,29559.984
Uzbekistan,UZB,2013,29746.271
Uzbekistan,UZB,2014,30025.69
Vanuatu,VUT,1990,195.06096
Vanuatu,VUT,1991,203.75136
Vanuatu,VUT,1992,211.60446
Vanuatu,VUT,1993,217.73048
Vanuatu,VUT,1994,225.78207
Vanuatu,VUT,1995,227.23474
Vanuatu,VUT,1996,232.96146
Vanuatu,VUT,1997,236.72803
Vanuatu,VUT,1998,240.67812
Vanuatu,VUT,1999,248.18608
Vanuatu,VUT,2000,247.23592
Vanuatu,VUT,2001,254.25455
Vanuatu,VUT,2002,250.86963
Vanuatu,VUT,2003,250.80667
Vanuatu,VUT,2004,257.17603
Vanuatu,VUT,2005,271.97888
Vanuatu,VUT,2006,283.0265
Vanuatu,VUT,2007,297.32043
Vanuatu,VUT,2008,309.3333
Vanuatu,VUT,2009,318.71634
Vanuatu,VUT,2010,328.05536
Vanuatu,VUT,2011,342.27237
Vanuatu,VUT,2012,351.57477
Vanuatu,VUT,2013,362.15067
Vanuatu,VUT,2014,372.59244
Venezuela,VEN,1990,5261.484
Venezuela,VEN,1991,5301.846
Venezuela,VEN,1992,5443.3506
Venezuela,VEN,1993,5590.3013
Venezuela,VEN,1994,5928.2563
Venezuela,VEN,1995,5991.205
Venezuela,VEN,1996,5933.7324
Venezuela,VEN,1997,5889.584
Venezuela,VEN,1998,6247.363
Venezuela,VEN,1999,6436.3687
Venezuela,VEN,2000,6543.4204
Venezuela,VEN,2001,6797.5977
Venezuela,VEN,2002,7105.4297
Venezuela,VEN,2003,7552.5654
Venezuela,VEN,2004,7219.005
Venezuela,VEN,2005,7367.419
Venezuela,VEN,2006,7902.0186
Venezuela,VEN,2007,8481.401
Venezuela,VEN,2008,9165.5
Venezuela,VEN,2009,9516.886
Venezuela,VEN,2010,9293.512
Venezuela,VEN,2011,9574.842
Venezuela,VEN,2012,9993.262
Venezuela,VEN,2013,9977.265
Venezuela,VEN,2014,10164.466
Vietnam,VNM,1990,72703.516
Vietnam,VNM,1991,72049.375
Vietnam,VNM,1992,71266.34
Vietnam,VNM,1993,70473.734
Vietnam,VNM,1994,69740.28
Vietnam,VNM,1995,69132.63
Vietnam,VNM,1996,68631.76
Vietnam,VNM,1997,68300.23
Vietnam,VNM,1998,68045.92
Vietnam,VNM,1999,68050.54
Vietnam,VNM,2000,68231.125
Vietnam,VNM,2001,69094.1
Vietnam,VNM,2002,70062.97
Vietnam,VNM,2003,71344.38
Vietnam,VNM,2004,72580.46
Vietnam,VNM,2005,73597.164
Vietnam,VNM,2006,74467.19
Vietnam,VNM,2007,75756.8
Vietnam,VNM,2008,76821.516
Vietnam,VNM,2009,77538.22
Vietnam,VNM,2010,77630.984
Vietnam,VNM,2011,77528.54
Vietnam,VNM,2012,76793.15
Vietnam,VNM,2013,75714.484
Vietnam,VNM,2014,74501.97
Wales,,1990,2069.211
Wales,,1991,2017.2495
Wales,,1992,1972.4224
Wales,,1993,1955.6201
Wales,,1994,1883.7488
Wales,,1995,1853.5978
Wales,,1996,1787.3202
Wales,,1997,1714.527
Wales,,1998,1660.9249
Wales,,1999,1624.4552
Wales,,2000,1537.557
Wales,,2001,1453.0646
Wales,,2002,1410.7523
Wales,,2003,1358.8372
Wales,,2004,1280.1997
Wales,,2005,1226.2664
Wales,,2006,1162.842
Wales,,2007,1137.424
Wales,,2008,1099.468
Wales,,2009,1060.8959
Wales,,2010,1022.9162
Wales,,2011,983.0832
Wales,,2012,950.6648
Wales,,2013,911.8067
Wales,,2014,844.73535
Western Pacific Region (WHO),,1990,2125905.5
Western Pacific Region (WHO),,1991,2124080.8
Western Pacific Region (WHO),,1992,2124627.2
Western Pacific Region (WHO),,1993,2119143
Western Pacific Region (WHO),,1994,2099370.5
Western Pacific Region (WHO),,1995,2080053.9
Western Pacific Region (WHO),,1996,2069538.1
Western Pacific Region (WHO),,1997,2047485.2
Western Pacific Region (WHO),,1998,2031488.9
Western Pacific Region (WHO),,1999,2049812.2
Western Pacific Region (WHO),,2000,2082169.2
Western Pacific Region (WHO),,2001,2094221.5
Western Pacific Region (WHO),,2002,2115565.5
Western Pacific Region (WHO),,2003,2135608.8
Western Pacific Region (WHO),,2004,2168298.2
Western Pacific Region (WHO),,2005,2155882
Western Pacific Region (WHO),,2006,2094527
Western Pacific Region (WHO),,2007,2067010.6
Western Pacific Region (WHO),,2008,2082803.6
Western Pacific Region (WHO),,2009,2103455
Western Pacific Region (WHO),,2010,2133439.2
Western Pacific Region (WHO),,2011,2140416.2
Western Pacific Region (WHO),,2012,2122908.8
Western Pacific Region (WHO),,2013,2115016.2
Western Pacific Region (WHO),,2014,2115143.8
World,OWID_WRL,1990,6501226.5
World,OWID_WRL,1991,6504209.5
World,OWID_WRL,1992,6526572
World,OWID_WRL,1993,6556725.5
World,OWID_WRL,1994,6557387.5
World,OWID_WRL,1995,6537356
World,OWID_WRL,1996,6528218.5
World,OWID_WRL,1997,6547191.5
World,OWID_WRL,1998,6525727
World,OWID_WRL,1999,6522139
World,OWID_WRL,2000,6548091.5
World,OWID_WRL,2001,6562169
World,OWID_WRL,2002,6593796.5
World,OWID_WRL,2003,6588012.5
World,OWID_WRL,2004,6541469
World,OWID_WRL,2005,6556779
World,OWID_WRL,2006,6528813
World,OWID_WRL,2007,6527584.5
World,OWID_WRL,2008,6576417.5
World,OWID_WRL,2009,6554957
World,OWID_WRL,2010,6576174
World,OWID_WRL,2011,6593948
World,OWID_WRL,2012,6600712
World,OWID_WRL,2013,6619746
World,OWID_WRL,2014,6612532
Yemen,YEM,1990,21222.053
Yemen,YEM,1991,21054.121
Yemen,YEM,1992,20935.65
Yemen,YEM,1993,20844.074
Yemen,YEM,1994,20758.633
Yemen,YEM,1995,20599.295
Yemen,YEM,1996,20461.324
Yemen,YEM,1997,20372.318
Yemen,YEM,1998,20180.666
Yemen,YEM,1999,20096.29
Yemen,YEM,2000,19929.768
Yemen,YEM,2001,19672.756
Yemen,YEM,2002,19601.73
Yemen,YEM,2003,19425.238
Yemen,YEM,2004,19257.531
Yemen,YEM,2005,19091.828
Yemen,YEM,2006,19095.262
Yemen,YEM,2007,19250.6
Yemen,YEM,2008,19452.6
Yemen,YEM,2009,19436.012
Yemen,YEM,2010,19258.87
Yemen,YEM,2011,19429.967
Yemen,YEM,2012,19543.248
Yemen,YEM,2013,19756.006
Yemen,YEM,2014,19819.65
Zambia,ZMB,1990,13083.973
Zambia,ZMB,1991,13301.393
Zambia,ZMB,1992,13467.184
Zambia,ZMB,1993,13531.549
Zambia,ZMB,1994,13600.284
Zambia,ZMB,1995,13635.34
Zambia,ZMB,1996,13552.209
Zambia,ZMB,1997,13393.469
Zambia,ZMB,1998,13271.57
Zambia,ZMB,1999,13140.172
Zambia,ZMB,2000,13061.341
Zambia,ZMB,2001,12985.633
Zambia,ZMB,2002,12833.781
Zambia,ZMB,2003,12903.07
Zambia,ZMB,2004,13118.778
Zambia,ZMB,2005,13211.538
Zambia,ZMB,2006,13316.781
Zambia,ZMB,2007,13197.391
Zambia,ZMB,2008,13107.977
Zambia,ZMB,2009,12828.649
Zambia,ZMB,2010,12710.395
Zambia,ZMB,2011,12643.706
Zambia,ZMB,2012,12441.852
Zambia,ZMB,2013,12308.246
Zambia,ZMB,2014,12155.34
Zimbabwe,ZWE,1990,8931.308
Zimbabwe,ZWE,1991,8742.102
Zimbabwe,ZWE,1992,8756.957
Zimbabwe,ZWE,1993,8630.07
Zimbabwe,ZWE,1994,8658.189
Zimbabwe,ZWE,1995,8664.061
Zimbabwe,ZWE,1996,8522.907
Zimbabwe,ZWE,1997,8550.149
Zimbabwe,ZWE,1998,8804.789
Zimbabwe,ZWE,1999,9178.283
Zimbabwe,ZWE,2000,9640.287
Zimbabwe,ZWE,2001,9880.829
Zimbabwe,ZWE,2002,10265.944
Zimbabwe,ZWE,2003,10594.227
Zimbabwe,ZWE,2004,11005.984
Zimbabwe,ZWE,2005,11307.209
Zimbabwe,ZWE,2006,11774.292
Zimbabwe,ZWE,2007,12228.871
Zimbabwe,ZWE,2008,13063.772
Zimbabwe,ZWE,2009,13458.642
Zimbabwe,ZWE,2010,13605.436
Zimbabwe,ZWE,2011,13647.757
Zimbabwe,ZWE,2012,13493.102
Zimbabwe,ZWE,2013,13261.193
Zimbabwe,ZWE,2014,13227.661
