Entity,Code,Year,UHC Index
Denmark,DNK,2005,74.38334
Denmark,DNK,2010,76.93965
Djibouti,DJI,2000,23.38025
Djibouti,DJI,2005,28.2272
Djibouti,DJI,2010,36.68119
Dominica,DMA,2000,48.80398
Dominica,DMA,2005,59.99614
Dominica,DMA,2010,65.53093
Dominican Republic,DOM,2000,50.87753
Dominican Republic,DOM,2005,57.40839
Dominican Republic,DOM,2010,70.03009
East Timor,TLS,2000,28.12505
East Timor,TLS,2005,30.76128
East Timor,TLS,2010,41.47976
Eastern Mediterranean (WHO),,2000,37.48567
Eastern Mediterranean (WHO),,2005,41.54613
Eastern Mediterranean (WHO),,2010,46.98394
Ecuador,ECU,2000,51.2664
Ecuador,ECU,2005,57.80808
Ecuador,ECU,2010,68.16116
Egypt,EGY,2000,50.39901
Egypt,EGY,2005,52.27327
Egypt,EGY,2010,62.35203
El Salvador,SLV,2000,51.54281
El Salvador,SLV,2005,64.98482
El Salvador,SLV,2010,73.32805
Equatorial Guinea,GNQ,2000,19.70556
Equatorial Guinea,GNQ,2005,22.57277
Equatorial Guinea,GNQ,2010,28.79866
Eritrea,ERI,2000,25.83123
Eritrea,ERI,2005,31.82051
Eritrea,ERI,2010,40.1129
Estonia,EST,2000,59.60306
Estonia,EST,2005,61.63895
Estonia,EST,2010,72.09915
Eswatini,SWZ,2000,35.70971
Eswatini,SWZ,2005,44.00773
Eswatini,SWZ,2010,51.10865
Ethiopia,ETH,2000,13.30969
Ethiopia,ETH,2005,16.66036
Ethiopia,ETH,2010,26.55138
Europe (150) (UN),,2000,66.36808
Europe (150) (UN),,2005,69.35453
Europe (150) (UN),,2010,76.50249
Europe (WHO),,2000,64.45797
Europe (WHO),,2005,67.7624
Europe (WHO),,2010,74.5882
Fiji,FJI,2000,41.9571
Fiji,FJI,2005,50.17557
Fiji,FJI,2010,52.49566
Finland,FIN,2000,74.75711
Finland,FIN,2005,81.45949
Finland,FIN,2010,83.97301
France,FRA,2000,79.14757
France,FRA,2005,80.51516
France,FRA,2010,81.51898
Gabon,GAB,2000,28.17883
Gabon,GAB,2005,36.9588
Gabon,GAB,2010,45.2353
Gambia,GMB,2000,28.94088
Gambia,GMB,2005,36.07573
Gambia,GMB,2010,40.6432
Georgia,GEO,2000,47.09488
Georgia,GEO,2005,61.36617
Georgia,GEO,2010,68.51891
Germany,DEU,2000,78.7087
Germany,DEU,2005,82.53266
Germany,DEU,2010,84.82602
Ghana,GHA,2000,23.65041
Ghana,GHA,2005,25.60964
Ghana,GHA,2010,35.24769
Greece,GRC,2000,68.94923
Greece,GRC,2005,72.82025
Greece,GRC,2010,75.39027
Grenada,GRD,2000,49.84954
Grenada,GRD,2005,61.57412
Grenada,GRD,2010,67.91986
Guatemala,GTM,2000,40.4051
Guatemala,GTM,2005,50.05145
Guatemala,GTM,2010,57.51889
Guinea,GIN,2000,16.07397
Guinea,GIN,2005,18.86237
Guinea,GIN,2010,25.80411
Guinea-Bissau,GNB,2000,19.06267
Guinea-Bissau,GNB,2005,22.73221
Guinea-Bissau,GNB,2010,28.78932
Guyana,GUY,2000,44.87869
Guyana,GUY,2005,58.66557
Guyana,GUY,2010,64.95517
Haiti,HTI,2000,27.3593
Haiti,HTI,2005,33.1177
Haiti,HTI,2010,41.99582
Honduras,HND,2000,42.03738
Honduras,HND,2005,52.427
Honduras,HND,2010,58.20331
Hungary,HUN,2000,70.13693
Hungary,HUN,2005,71.93488
Hungary,HUN,2010,73.16734
Iceland,ISL,2000,77.75259
Iceland,ISL,2005,83.27841
Iceland,ISL,2010,84.88487
India,IND,2000,29.66446
India,IND,2005,33.83773
India,IND,2010,48.56442
Indonesia,IDN,2000,29.037
Indonesia,IDN,2005,33.55102
Indonesia,IDN,2010,41.67841
Iran,IRN,2000,49.79386
Iran,IRN,2005,50.41957
Iran,IRN,2010,54.26576
Iraq,IRQ,2000,52.49385
Iraq,IRQ,2005,52.58086
Iraq,IRQ,2010,52.87528
Ireland,IRL,2000,72.17076
Ireland,IRL,2005,75.56446
Ireland,IRL,2010,77.2882
Israel,ISR,2000,72.28749
Israel,ISR,2005,76.40475
Israel,ISR,2010,79.23442
Italy,ITA,2000,69.75138
Italy,ITA,2005,76.41152
Italy,ITA,2010,79.90992
Jamaica,JAM,2000,48.01584
Jamaica,JAM,2005,58.72494
Jamaica,JAM,2010,65.5728
Japan,JPN,2000,69.89166
Japan,JPN,2005,75.68333
Japan,JPN,2010,80.32547
Jordan,JOR,2000,64.66788
Jordan,JOR,2005,68.37472
Jordan,JOR,2010,71.55121
Kazakhstan,KAZ,2000,55.60408
Kazakhstan,KAZ,2005,64.39897
Kazakhstan,KAZ,2010,70.3424
Kenya,KEN,2000,27.63106
Kenya,KEN,2005,34.21377
Kenya,KEN,2010,44.18829
Kiribati,KIR,2000,27.53077
Kiribati,KIR,2005,32.12599
Kiribati,KIR,2010,41.04535
Kuwait,KWT,2000,74.3456
Kuwait,KWT,2005,76.26211
Kuwait,KWT,2010,74.29644
Kyrgyzstan,KGZ,2000,51.05572
Kyrgyzstan,KGZ,2005,54.5138
Kyrgyzstan,KGZ,2010,59.2849
Laos,LAO,2000,24.75208
Laos,LAO,2005,32.86279
Laos,LAO,2010,40.28413
Latvia,LVA,2000,51.52606
Latvia,LVA,2005,57.78969
Latvia,LVA,2010,65.14338
Lebanon,LBN,2000,53.67805
Lebanon,LBN,2005,63.13624
Lebanon,LBN,2010,67.21127
Lesotho,LSO,2000,27.30762
Lesotho,LSO,2005,33.35786
Lesotho,LSO,2010,45.0275
Liberia,LBR,2000,20.39242
Liberia,LBR,2005,22.69758
Liberia,LBR,2010,33.27107
Libya,LBY,2000,55.1002
Libya,LBY,2005,59.22919
Libya,LBY,2010,61.90065
Lithuania,LTU,2000,50.68051
Lithuania,LTU,2005,57.0852
Lithuania,LTU,2010,62.62812
Luxembourg,LUX,2000,73.54443
Luxembourg,LUX,2005,75.48934
Luxembourg,LUX,2010,77.37735
Madagascar,MDG,2000,16.61189
Madagascar,MDG,2005,20.54533
Madagascar,MDG,2010,25.45398
Malawi,MWI,2000,21.73665
Malawi,MWI,2005,27.72908
Malawi,MWI,2010,37.92305
Malaysia,MYS,2000,51.9628
Malaysia,MYS,2005,64.03548
Malaysia,MYS,2010,68.774
Maldives,MDV,2000,40.55208
Maldives,MDV,2005,44.68186
Maldives,MDV,2010,58.08285
Mali,MLI,2000,19.54101
Mali,MLI,2005,24.37535
Mali,MLI,2010,35.24286
Malta,MLT,2000,74.83934
Malta,MLT,2005,76.60404
Malta,MLT,2010,79.12861
Marshall Islands,MHL,2000,42.01462
Marshall Islands,MHL,2005,45.60303
Marshall Islands,MHL,2010,56.87781
Mauritania,MRT,2000,20.68332
Mauritania,MRT,2005,24.63069
Mauritania,MRT,2010,32.02874
Mauritius,MUS,2000,49.12861
Mauritius,MUS,2005,53.06477
Mauritius,MUS,2010,58.75645
Mexico,MEX,2000,56.00663
Mexico,MEX,2005,60.71852
Mexico,MEX,2010,65.82896
Micronesia (country),FSM,2000,36.45238
Micronesia (country),FSM,2005,39.26851
Micronesia (country),FSM,2010,46.50378
Moldova,MDA,2000,51.27183
Moldova,MDA,2005,54.44264
Moldova,MDA,2010,63.26561
Monaco,MCO,2000,73.16138
Monaco,MCO,2005,77.71615
Monaco,MCO,2010,80.30782
Mongolia,MNG,2000,46.42946
Mongolia,MNG,2005,48.5035
Mongolia,MNG,2010,58.8462
Montenegro,MNE,2000,59.60315
Montenegro,MNE,2005,64.16195
Montenegro,MNE,2010,67.11888
Morocco,MAR,2000,40.65284
Morocco,MAR,2005,51.0325
Morocco,MAR,2010,58.01295
Mozambique,MOZ,2000,19.62433
Mozambique,MOZ,2005,23.30048
Mozambique,MOZ,2010,30.67427
Myanmar,MMR,2000,25.22501
Myanmar,MMR,2005,32.21199
Myanmar,MMR,2010,44.60143
Namibia,NAM,2000,38.58296
Namibia,NAM,2005,48.50308
Namibia,NAM,2010,57.40187
Nauru,NRU,2000,35.09056
Nauru,NRU,2005,40.20208
Nauru,NRU,2010,51.97902
Nepal,NPL,2000,19.64187
Nepal,NPL,2005,25.13433
Nepal,NPL,2010,37.36217
Netherlands,NLD,2000,75.1118
Netherlands,NLD,2005,77.57281
Netherlands,NLD,2010,80.26999
New Zealand,NZL,2000,75.44692
New Zealand,NZL,2005,79.63079
New Zealand,NZL,2010,81.87332
Nicaragua,NIC,2000,46.70932
Nicaragua,NIC,2005,53.45306
Nicaragua,NIC,2010,65.59571
Niger,NER,2000,15.03218
Niger,NER,2005,19.16178
Niger,NER,2010,29.97222
Nigeria,NGA,2000,19.98557
Nigeria,NGA,2005,24.40609
